t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
666530,0.0312,-0.1577,0.9810,-0.61,-0.73,-0.12
666552,0.0327,-0.1577,0.9824,-0.67,-0.73,-0.06
666575,0.0308,-0.1572,0.9854,-0.67,-0.73,-0.12
666597,0.0312,-0.1592,0.9819,-0.73,-0.73,-0.12
666620,0.0298,-0.1592,0.9824,-0.67,-0.79,-0.06
666642,0.0317,-0.1587,0.9814,-0.73,-0.61,-0.06
666665,0.0312,-0.1587,0.9829,-0.61,-0.67,-0.06
666687,0.0312,-0.1587,0.9819,-0.79,-0.67,-0.12
666709,0.0312,-0.1597,0.9849,-0.67,-0.73,-0.12
666732,0.0312,-0.1602,0.9819,-0.79,-0.67,-0.06
666754,0.0317,-0.1597,0.9844,-0.79,-0.67,-0.06
666777,0.0308,-0.1582,0.9834,-0.67,-0.61,-0.06
666799,0.0322,-0.1577,0.9824,-0.79,-0.79,-0.12
666822,0.0312,-0.1602,0.9824,-0.73,-0.73,-0.12
666844,0.0322,-0.1606,0.9824,-0.73,-0.67,-0.12
666867,0.0278,-0.1582,0.9805,-0.67,-0.73,-0.06
666889,0.0308,-0.1572,0.9834,-0.73,-0.55,-0.12
666912,0.0322,-0.1597,0.9819,-0.73,-0.73,-0.12
666934,0.0342,-0.1611,0.9819,-0.73,-0.67,-0.12
666957,0.0308,-0.1572,0.9839,-0.73,-0.73,-0.06
666979,0.0308,-0.1597,0.9844,-0.79,-0.67,-0.12
667001,0.0327,-0.1592,0.9819,-0.79,-0.73,-0.06
667024,0.0342,-0.1577,0.9834,-0.67,-0.73,-0.12
667046,0.0337,-0.1567,0.9829,-0.73,-0.73,-0.06
667069,0.0317,-0.1587,0.9834,-0.73,-0.79,-0.12
667091,0.0322,-0.1616,0.9824,-0.79,-0.79,-0.06
667114,0.0322,-0.1582,0.9834,-0.61,-0.73,-0.06
667136,0.0288,-0.1582,0.9839,-0.73,-0.67,0.00
667159,0.0298,-0.1597,0.9814,-0.79,-0.73,0.00
667181,0.0312,-0.1597,0.9829,-0.73,-0.73,-0.06
667204,0.0303,-0.1582,0.9854,-0.85,-0.73,-0.06
667226,0.0332,-0.1616,0.9819,-0.67,-0.67,-0.12
667249,0.0317,-0.1602,0.9834,-0.73,-0.73,-0.06
667271,0.0332,-0.1602,0.9834,-0.79,-0.73,-0.12
667293,0.0308,-0.1616,0.9814,-0.73,-0.79,-0.06
667316,0.0298,-0.1597,0.9814,-0.73,-0.73,-0.12
667338,0.0283,-0.1602,0.9790,-0.73,-0.61,0.00
667361,0.0322,-0.1567,0.9829,-0.61,-0.73,-0.18
667383,0.0298,-0.1577,0.9834,-0.79,-0.61,0.00
667406,0.0322,-0.1621,0.9805,-0.79,-0.67,-0.06
667428,0.0322,-0.1587,0.9810,-0.85,-0.73,-0.12
667451,0.0332,-0.1582,0.9839,-0.67,-0.73,-0.12
667473,0.0288,-0.1592,0.9819,-0.67,-0.79,-0.12
667496,0.0312,-0.1597,0.9824,-0.79,-0.67,-0.06
667518,0.0303,-0.1606,0.9824,-0.67,-0.73,-0.06
667541,0.0312,-0.1597,0.9839,-0.67,-0.67,-0.06
667563,0.0322,-0.1621,0.9834,-0.73,-0.73,-0.18
667585,0.0288,-0.1592,0.9819,-0.73,-0.73,-0.06
667608,0.0322,-0.1597,0.9814,-0.61,-0.79,-0.12
667630,0.0303,-0.1587,0.9829,-0.79,-0.61,-0.06
667653,0.0308,-0.1621,0.9805,-0.79,-0.73,-0.06
667675,0.0317,-0.1606,0.9839,-0.67,-0.79,-0.06
667698,0.0303,-0.1602,0.9829,-0.73,-0.79,-0.12
