marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class
1,41.0,39.0,6323.97802734375,1549.3709716796875,3721.3017578125,53.76282404176891,-6.24796106480062,80.0,0.0,1.0,1232.6326904296875,1,pitch
2,112.0,113.0,1601.148681640625,298.4844665527344,384.54345703125,53.7630851380527,-6.2474060989916325,160.0,5.873915672302246,1.0,1025.9908447265625,1,putt
3,165.0,164.0,8090.59521484375,2053.3720703125,4386.67822265625,53.76304456964135,-6.2477800995111465,80.0,62.315704345703125,1.0,1110.6064453125,2,pitch
4,251.0,252.0,1306.9326171875,178.0824737548828,242.70172119140625,53.76343600451946,-6.247236197814345,320.0,0.0,1.0,1023.766845703125,2,putt
5,258.0,259.0,1695.8089599609375,409.8448791503906,404.0562744140625,53.763421503826976,-6.2472644448280334,160.0,1.7639074325561523,1.0,1030.1090087890625,2,putt
6,294.0,293.0,8497.94921875,2172.500732421875,5252.412109375,53.76328487880528,-6.247102422639728,40.0,66.43202209472656,1.0,1115.6300048828125,3,pitch
7,378.0,379.0,2212.850341796875,472.9138488769531,513.1968383789062,53.763773208484054,-6.246942076832056,80.0,5.960532188415527,1.0,1051.9320068359375,3,putt
8,399.0,400.0,1643.441162109375,220.85049438476562,944.0800170898438,53.7636636570096,-6.247009299695492,80.0,23.602001190185547,1.0,1031.9561767578125,3,putt
9,440.0,438.0,8522.7099609375,2282.105712890625,5262.962890625,53.7636258546263,-6.247274838387966,80.0,67.08404541015625,1.0,1138.5587158203125,4,pitch
10,484.0,484.0,1357.828369140625,110.42853546142578,298.1802978515625,53.7640022020787,-6.246733954176307,80.0,0.0,2.0,1026.0828857421875,4,putt
11,495.0,495.0,1422.8004150390625,138.82089233398438,453.55224609375,53.763975631445646,-6.246792962774634,40.0,0.0,2.0,1024.2138671875,4,putt
12,667.0,665.0,7995.65869140625,1783.308837890625,2367.310302734375,53.76410974189639,-6.246586265042424,40.0,54.0830192565918,1.0,1014.0397338867188,5,pitch
13,704.0,705.0,1590.1478271484375,263.8638610839844,617.7249755859375,53.764425655826926,-6.246053092181683,120.0,0.0,2.0,1017.2932739257812,5,putt
14,710.0,705.0,1590.1478271484375,263.8638610839844,617.7249755859375,53.76445013098419,-6.2460495717823505,120.0,0.0,2.0,1017.2932739257812,5,putt
15,758.0,757.0,8588.0625,2097.091064453125,5501.142578125,53.76420973800123,-6.246700845658779,80.0,48.67344665527344,1.0,1017.2203979492188,6,pitch
16,799.0,800.0,1413.8348388671875,254.59010314941406,1069.666748046875,53.76465582288802,-6.246160296723247,200.0,1.652921438217163,2.0,1034.9150390625,6,putt
17,806.0,801.0,1430.4891357421875,220.8526153564453,548.4589233398438,53.76462673768401,-6.246149148792028,200.0,2.5762991905212402,2.0,1038.1905517578125,6,putt
18,860.0,859.0,5100.71826171875,1335.882080078125,3416.68701171875,53.76452129334211,-6.246485179290175,120.0,19.165599822998047,1.0,1022.9638061523438,7,pitch
19,885.0,886.0,1317.84716796875,166.6558837890625,363.05242919921875,53.76473176293075,-6.246243696659803,80.0,0.0,1.0,1009.25146484375,7,putt
20,920.0,918.0,7885.3984375,1939.605224609375,4469.275390625,53.764912812039256,-6.246170355007052,80.0,42.5479736328125,1.0,1017.9677734375,8,pitch
21,964.0,958.0,1550.976806640625,189.14520263671875,719.953369140625,53.764607794582844,-6.245659813284874,80.0,0.0,1.0,1081.4368896484375,8,putt
22,972.0,973.0,1606.935302734375,394.03399658203125,388.83599853515625,53.76462531276047,-6.245675068348646,400.0,2.9000136852264404,1.0,1024.1812744140625,8,putt
23,1186.0,1184.0,8554.41015625,2037.35595703125,5797.26513671875,53.76449371688068,-6.245613796636462,80.0,52.58121109008789,1.0,1011.421630859375,9,pitch
24,1230.0,1231.0,2008.327392578125,563.1593627929688,445.81976318359375,53.76409130170941,-6.2463850155472755,360.0,3.4995856285095215,1.0,1037.4271240234375,9,chip
25,1241.0,1242.0,1353.9622802734375,134.4214324951172,574.7286987304688,53.76408811658621,-6.246337657794356,40.0,0.0,1.0,1049.1817626953125,9,putt
26,1298.0,1296.0,8029.77197265625,2180.412841796875,4632.58837890625,53.76428618095815,-6.245706416666508,80.0,43.31884765625,1.0,1090.7691650390625,10,pitch
27,1342.0,1343.0,1316.7767333984375,163.41012573242188,352.217529296875,53.763896925374866,-6.246336400508881,120.0,4.141064643859863,2.0,1029.1129150390625,10,putt
28,1349.0,1350.0,1696.1771240234375,380.7715759277344,433.055419921875,53.763863649219275,-6.246313014999032,240.0,4.461815357208252,1.0,1034.4686279296875,10,putt
