marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class,dist_to_green,on_green_strict,on_green_buffer
15,465.0,466.0,2119.352783203125,442.7601318359375,449.88787841796875,53.764428002759814,-6.2460271921008825,120.0,4.701730251312256,1.0,1022.470947265625,5,putt,2.301950205940108,1.0,1.0
16,522.0,520.0,9379.7158203125,2317.33935546875,3634.97705078125,53.764226250350475,-6.246727667748928,40.0,78.08917236328125,1.0,1110.7357177734375,6,pitch,21.583424636067008,0.0,0.0
17,606.0,604.0,1835.418701171875,281.77069091796875,257.1138916015625,53.76450737938285,-6.246276888996363,120.0,2.4096922874450684,1.0,1013.205322265625,6,chip,16.124034485178026,0.0,0.0
18,624.0,624.0,1987.3160400390625,332.8594055175781,1221.7149658203125,53.76458499580622,-6.246241685003042,80.0,30.54287338256836,1.0,1022.6716918945312,6,putt,7.198436105015648,0.0,1.0
19,630.0,624.0,1987.3160400390625,332.8594055175781,1221.7149658203125,53.76459052786231,-6.2462439481168985,80.0,30.54287338256836,1.0,1022.6716918945312,6,putt,6.67405732097708,0.0,1.0
20,674.0,670.0,1731.3809814453125,300.5110778808594,765.3733520507812,53.76456454396248,-6.246524155139923,80.0,0.0,2.0,1012.7853393554688,7,pitch,22.79775944078552,0.0,0.0
21,706.0,707.0,1322.622802734375,178.81875610351562,523.1671752929688,53.76472346484661,-6.246221233159304,200.0,0.0,3.0,1016.60791015625,7,putt,6.7678442604673394,0.0,1.0
22,711.0,712.0,1389.8780517578125,166.8228302001953,387.6982421875,53.76473721116781,-6.246226094663143,120.0,0.0,1.0,1032.34716796875,7,putt,5.20695865600149,1.0,1.0
23,752.0,753.0,2094.244873046875,328.3924560546875,494.99407958984375,53.764930414035916,-6.246233386918902,160.0,1.924498200416565,1.0,988.54296875,8,pitch,16.442473819290548,0.0,0.0
24,793.0,794.0,1327.802001953125,110.36563110351562,204.6541748046875,53.76464802771807,-6.245734412223101,240.0,0.0,2.0,1022.4600219726562,8,putt,1.5131388171936118,1.0,1.0
25,800.0,801.0,1616.856201171875,399.4102783203125,468.73358154296875,53.76460041850805,-6.245702560991049,280.0,6.143920421600342,1.0,1028.8590087890625,8,putt,6.7073555635818245,0.0,1.0
26,843.0,839.0,7366.39990234375,1750.5489501953125,4718.6005859375,53.76449237577617,-6.245631147176027,80.0,40.554115295410156,1.0,1039.5631103515625,9,pitch,19.535871485656408,0.0,0.0
27,899.0,899.0,1743.6444091796875,215.28797912597656,724.666015625,53.764129020273685,-6.246283678337932,40.0,0.0,2.0,1020.3518676757812,9,putt,4.931311695183192,1.0,1.0
28,908.0,902.0,1491.123779296875,272.7369384765625,389.0015869140625,53.76411963254213,-6.246380489319563,200.0,3.4663922786712646,2.0,1019.245361328125,9,putt,7.023027515991036,0.0,1.0
29,960.0,958.0,7192.36865234375,1766.6805419921875,3388.382080078125,53.76431920565665,-6.245711864903569,80.0,0.0,1.0,1116.7130126953125,10,pitch,26.015195289096237,0.0,0.0
30,1017.0,1015.0,1424.024169921875,132.399169921875,225.4766845703125,53.7638158723712,-6.246283845975995,320.0,0.0,2.0,1008.3721313476562,10,chip,12.971218983327468,0.0,0.0
31,1030.0,1031.0,1884.52880859375,254.07093811035156,766.5328369140625,53.763836743310094,-6.246285689994693,40.0,2.716428518295288,2.0,1026.58447265625,10,putt,10.661039260583939,0.0,0.0
32,1084.0,1081.0,6905.30859375,1822.93505859375,4405.44091796875,53.76403891481459,-6.245701974257827,80.0,33.92813491821289,1.0,1027.05029296875,11,pitch,39.46377744571771,0.0,0.0
33,1142.0,1140.0,2083.15966796875,388.7978210449219,858.2737426757812,53.763622250407934,-6.246545612812042,120.0,3.1371355056762695,1.0,1017.811767578125,11,chip,14.505998669518993,0.0,0.0
34,1162.0,1163.0,1705.8104248046875,326.38494873046875,392.32952880859375,53.76364077441394,-6.246354505419731,400.0,1.4549963474273682,2.0,1017.04248046875,11,putt,1.9439761078072137,1.0,1.0
35,1213.0,1210.0,7240.20556640625,1839.36083984375,5282.7724609375,53.763964315876365,-6.246519796550274,80.0,38.39339065551758,1.0,1015.5234375,12,pitch,16.496167030580953,0.0,0.0
36,1259.0,1258.0,1509.927490234375,210.3450164794922,517.7301025390625,53.76356433145702,-6.2465243227779865,200.0,0.0,2.0,1016.127197265625,12,chip,8.791651700064586,0.0,1.0
37,1279.0,1279.0,1792.9876708984375,230.84031677246094,501.419189453125,53.763473220169544,-6.246567824855447,40.0,11.689793586730957,1.0,1035.8560791015625,12,putt,2.564565358612477,1.0,1.0
38,1285.0,1279.0,1792.9876708984375,230.84031677246094,501.419189453125,53.763504484668374,-6.246541757136583,40.0,11.689793586730957,1.0,1035.8560791015625,12,putt,3.0824498954043196,1.0,1.0
39,1359.0,1357.0,5738.904296875,1506.62158203125,3023.481689453125,53.76312964595854,-6.2461458798497915,80.0,24.34772300720215,1.0,1012.1708984375,13,pitch,21.4964028436722,0.0,0.0
40,1418.0,1419.0,1779.4698486328125,353.974365234375,277.4161376953125,53.76335822045803,-6.246970994397998,440.0,2.519144296646118,1.0,985.35791015625,13,chip,8.751748648994827,0.0,1.0
41,1431.0,1432.0,1734.1873779296875,173.84039306640625,667.3397216796875,53.76335134729743,-6.246884325519204,40.0,0.0,1.0,1023.267822265625,13,putt,3.5192504444012997,1.0,1.0
42,1486.0,1484.0,6810.94287109375,1574.2548828125,4892.8173828125,53.76305823214352,-6.246631359681487,80.0,37.119041442871094,1.0,1012.5674438476562,14,pitch,16.470890659923338,0.0,0.0
43,1525.0,1526.0,2121.0634765625,549.909423828125,557.1950073242188,53.7629556376487,-6.247258661314845,160.0,6.774926662445068,2.0,1070.427734375,14,chip,13.456460080369807,0.0,0.0
44,1550.0,1551.0,1844.4649658203125,360.8312072753906,664.4844970703125,53.762821862474084,-6.247509531676769,120.0,8.916414260864258,1.0,1058.710693359375,14,putt,8.920762854048476,0.0,0.0
45,1566.0,1567.0,1663.41845703125,232.91412353515625,767.9248657226562,53.76290375366807,-6.24738447368145,120.0,0.0,1.0,1023.6150512695312,14,putt,4.268189019694677,1.0,1.0
46,1603.0,1601.0,6408.962890625,1533.159423828125,2861.7421875,53.762820940464735,-6.247862074524164,40.0,36.646484375,1.0,1027.9534912109375,15,pitch,11.704698020284564,0.0,0.0
47,1651.0,1652.0,1341.9034423828125,104.3195571899414,413.94976806640625,53.762545846402645,-6.24728430993855,120.0,0.0,3.0,1021.76953125,15,putt,5.348411586305722,1.0,1.0
48,1698.0,1696.0,6238.2880859375,1736.658447265625,4291.208984375,53.76276042312384,-6.247274419292808,120.0,39.6630973815918,1.0,1086.4053955078125,16,pitch,14.208940680489551,0.0,0.0
49,1735.0,1732.0,1844.7796630859375,248.53578186035156,982.655517578125,53.76261843368411,-6.246854150667787,40.0,0.0,2.0,1008.1188354492188,16,chip,31.477241858044838,1.0,0.0
50,1746.0,1741.0,2029.6317138671875,355.3639221191406,943.8370361328125,53.7626466806978,-6.246793465688825,80.0,15.087118148803711,1.0,1010.93896484375,16,putt,35.42176937243435,1.0,0.0
51,1786.0,1783.0,5754.30078125,1499.0482177734375,3378.769287109375,53.76278950832784,-6.246448215097189,80.0,30.88734245300293,1.0,1087.316650390625,17,pitch,24.284993330791487,0.0,0.0
52,1840.0,1841.0,1372.5731201171875,185.6887969970703,457.60430908203125,53.76250879839063,-6.246971413493156,120.0,0.0,1.0,1027.5213623046875,17,putt,18.951072960478168,0.0,0.0
53,1850.0,1851.0,1647.0706787109375,180.39312744140625,386.92431640625,53.762510726228356,-6.246907627210021,80.0,0.0,1.0,1028.20263671875,17,putt,19.124744405141524,1.0,0.0
54,1895.0,1893.0,6929.91455078125,1813.6070556640625,3175.31591796875,53.76229195855558,-6.2471413146704435,80.0,36.799049377441406,1.0,1075.539794921875,18,pitch,14.449163765098062,0.0,0.0
55,1939.0,1940.0,1670.14013671875,207.00180053710938,438.35888671875,53.76263737678528,-6.24760533683002,40.0,0.0,2.0,1016.334228515625,18,putt,18.41487973760448,1.0,0.0
56,1945.0,1941.0,1744.8145751953125,342.1671142578125,462.27288818359375,53.762627905234694,-6.247615730389953,120.0,4.458615779876709,1.0,1046.2537841796875,18,putt,18.701157849822515,1.0,0.0
