marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class,synthetic
1,41.0,38.0,6623.720703125,1640.8350830078125,4477.443359375,53.76281859353185,-6.247981516644359,80.0,49.26036071777344,1.0,1012.7466430664062,1,pitch,
2,83.0,81.0,1747.5015869140625,266.1826171875,545.9139404296875,53.76306192018092,-6.24757893383503,160.0,0.0,1.0,1013.2858276367188,1,chip,
3,103.0,104.0,1337.9495849609375,171.5723114013672,218.91070556640625,53.763051107525826,-6.247408529743552,200.0,0.0,1.0,1018.9317016601562,1,putt,
4,114.0,115.0,1244.0904541015625,214.90695190429688,297.4151611328125,53.763052029535174,-6.247404674068093,80.0,4.523967266082764,2.0,1024.037109375,1,putt,
5,159.0,157.0,8684.5703125,2320.158447265625,4728.2158203125,53.763033002614975,-6.247798791155219,80.0,51.38079833984375,1.0,1089.3638916015625,2,pitch,
6,220.0,220.0,1864.929443359375,343.1159973144531,982.7152099609375,53.76341882161796,-6.247219182550907,80.0,12.038321495056152,1.0,1028.24267578125,2,putt,
7,229.0,223.0,1244.1619873046875,93.34712982177734,194.0418701171875,53.763392670080066,-6.247243657708168,520.0,0.0,2.0,1015.4558715820312,2,putt,
8,275.0,274.0,7076.79248046875,2170.44921875,5452.38671875,53.76334011554718,-6.247135112062097,120.0,136.30966186523438,1.0,1016.1995239257812,3,pitch,
9,319.0,316.0,1571.3564453125,157.18197631835938,532.5438842773438,53.7637535110116,-6.247057244181633,80.0,0.0,1.0,1035.626953125,3,chip,
10,330.0,324.0,1566.3875732421875,245.6039581298828,254.4102783203125,53.763694670051336,-6.247019609436393,200.0,0.0,2.0,1033.2659912109375,3,putt,
11,414.0,412.0,7986.63623046875,1880.2838134765625,2305.650390625,53.76364588737488,-6.247268635779619,80.0,49.70816421508789,1.0,1012.5205688476562,4,pitch,
12,457.0,458.0,1881.9141845703125,206.06529235839844,1062.7384033203125,53.76399256289005,-6.246831519529223,40.0,0.0,1.0,1032.8909912109375,4,chip,
13,466.0,466.0,1711.561279296875,157.6958770751953,688.3379516601562,53.764032209292054,-6.246812157332897,40.0,0.0,1.0,1021.6887817382812,4,putt,
14,515.0,513.0,7799.14013671875,1985.643798828125,3994.0556640625,53.764138240367174,-6.24665985815227,40.0,41.54954147338867,1.0,1036.6964111328125,5,pitch,
15,553.0,552.0,2251.42138671875,409.6551818847656,964.4202270507812,53.76438299193978,-6.246117046102881,80.0,5.889476776123047,1.0,1017.7161254882812,5,chip,
16,566.0,560.0,1835.9447021484375,287.57086181640625,410.3682861328125,53.764443174004555,-6.246056444942951,80.0,0.0,1.0,1005.4777221679688,5,putt,
17,636.0,634.0,7464.48486328125,1655.7972412109375,3761.38037109375,53.76422029919922,-6.246720794588327,40.0,58.103355407714844,1.0,1012.490234375,6,pitch,
18,681.0,678.0,2658.557861328125,491.8693542480469,1648.8603515625,53.76462120562792,-6.246329108253121,80.0,8.61478042602539,2.0,1020.5216674804688,6,chip,
19,690.0,688.0,1816.5654296875,279.5133361816406,511.901123046875,53.7646393943578,-6.246277643367648,120.0,0.0,1.0,1010.54638671875,6,putt,
20,738.0,735.0,5036.29296875,1125.964111328125,1365.823486328125,53.764533530920744,-6.246531195938587,80.0,26.642274856567383,1.0,1011.2660522460938,7,pitch,
21,764.0,762.0,1647.8837890625,217.6206512451172,183.1141357421875,53.764724135398865,-6.246273452416062,160.0,0.0,1.0,1011.7190551757812,7,chip,
22,779.0,773.0,1285.0408935546875,117.64385223388672,182.468505859375,53.76477668993175,-6.246281415224075,360.0,0.0,1.0,1100.0594482421875,7,putt,
23,820.0,818.0,7619.15234375,2086.321533203125,5357.943359375,53.76496192999184,-6.24616633169353,80.0,40.135318756103516,1.0,1072.6585693359375,8,pitch,
24,875.0,876.0,1929.6978759765625,239.51296997070312,741.8873291015625,53.764632353559136,-6.245804652571678,40.0,12.169020652770996,3.0,1010.2869262695312,8,chip,
25,891.0,891.0,1853.4405517578125,250.9370880126953,959.760986328125,53.764635706320405,-6.245676493272185,80.0,3.8804101943969727,1.0,1024.417724609375,8,putt,
26,935.0,933.0,8589.166015625,2142.667724609375,4918.80126953125,53.76451383344829,-6.245591752231121,80.0,52.23335647583008,1.0,1078.8529052734375,9,pitch,
27,987.0,987.0,1901.3232421875,270.9447326660156,1379.748779296875,53.7641438562423,-6.246396247297525,40.0,12.109689712524414,1.0,1049.2510986328125,9,chip,
28,999.0,999.0,1823.6014404296875,206.30870056152344,773.837158203125,53.764118794351816,-6.2463202234357595,40.0,0.0,2.0,1018.1826171875,9,putt,
29,1055.0,1053.0,8118.4365234375,2037.3746337890625,5380.04296875,53.76430705189705,-6.245674397796392,80.0,54.9235954284668,1.0,1010.7626953125,10,pitch,
30,1103.0,1101.0,1725.046630859375,247.932861328125,533.34326171875,53.76397722400725,-6.246423237025738,120.0,0.0,1.0,1006.5794067382812,10,chip,
31,1119.0,1119.0,1817.6845703125,282.9873046875,641.6768798828125,53.76387714408338,-6.2463632225990295,40.0,0.0,3.0,1021.6663208007812,10,putt,
32,1203.0,1201.0,8304.873046875,2011.13525390625,3887.706787109375,53.76402617432177,-6.245716894045472,40.0,61.225563049316406,1.0,1109.2044677734375,11,pitch,
33,1252.0,1250.0,1481.91259765625,185.17709350585938,457.1214599609375,53.763678492978215,-6.2464365642517805,200.0,0.0,1.0,1011.6486206054688,11,chip,
34,1271.0,1272.0,2037.6878662109375,290.25885009765625,1094.83203125,53.76361235976219,-6.246318547055125,40.0,14.341814994812012,1.0,1026.5223388671875,11,chip,
35,1282.0,1283.0,1989.80322265625,241.4298858642578,1291.68798828125,53.76366156153381,-6.246363641694188,40.0,5.015751361846924,1.0,1024.5963134765625,11,putt,
36,1350.0,1348.0,7839.63720703125,2003.5262451171875,6182.3037109375,53.764019971713424,-6.246528346091509,80.0,62.334327697753906,1.0,1012.0407104492188,12,pitch,
37,1395.0,1395.0,2008.822509765625,383.6681823730469,1310.8828125,53.76352929510176,-6.246551983058453,120.0,12.825579643249512,1.0,1013.80322265625,12,putt,
38,1407.0,1407.0,1761.75390625,179.41766357421875,521.033935546875,53.76347933895886,-6.246587103232741,40.0,0.0,1.0,1024.7066650390625,12,putt,
10000,1498.0,1498.0,0.0,0.0,0.0,53.76335097011179,-6.246881349943578,,,,,13,pitch,True
39,1528.0,1529.0,1971.0286865234375,266.90625,1445.918212890625,53.763380432501435,-6.246904861181974,40.0,12.603493690490723,1.0,1035.2069091796875,13,putt,
40,1536.0,1537.0,1765.7864990234375,343.10760498046875,606.2772216796875,53.76332150772214,-6.246857838705182,80.0,12.865455627441406,1.0,1031.7822265625,13,putt,
41,1593.0,1590.0,7550.37255859375,1799.4078369140625,3285.259765625,53.76308077946305,-6.246623061597347,40.0,45.140071868896484,1.0,1009.4810180664062,14,pitch,
42,1640.0,1638.0,1124.6661376953125,39.120506286621094,71.771484375,53.762886906042695,-6.247491845861077,800.0,0.0,1.0,1018.40771484375,14,chip,
43,1648.0,1643.0,1578.937255859375,303.2408752441406,225.745361328125,53.76289545558393,-6.24738397076726,160.0,3.164997100830078,1.0,1016.3991088867188,14,putt,
44,1700.0,1697.0,7112.14013671875,1734.0096435546875,4827.73046875,53.76283720135689,-6.24785989522934,80.0,38.97400665283203,1.0,1012.83349609375,15,pitch,
45,1735.0,1736.0,1887.388427734375,350.8511047363281,1373.8006591796875,53.762541403993964,-6.24747390858829,80.0,0.0,1.0,1056.8416748046875,15,chip,
46,1747.0,1748.0,1683.335693359375,227.1616973876953,672.4247436523438,53.76255883835256,-6.24731071293354,120.0,0.0,2.0,1026.2315673828125,15,putt,
47,1795.0,1793.0,8902.349609375,2391.29736328125,3844.2470703125,53.76270552165806,-6.247192779555917,80.0,80.53228759765625,1.0,1012.4343872070312,16,pitch,
48,1846.0,1843.0,2578.9287109375,454.7616271972656,1033.618408203125,53.763025626540184,-6.246633119881153,40.0,8.714341163635254,1.0,1013.2106323242188,16,chip,
49,1870.0,1871.0,1774.9774169921875,209.44142150878906,871.7537231445312,53.7629902549088,-6.24626993201673,40.0,0.0,2.0,1012.263671875,16,putt,
50,1916.0,1912.0,8383.728515625,1879.27197265625,3294.943359375,53.762764781713486,-6.246406137943268,40.0,57.0889778137207,1.0,1010.89306640625,17,pitch,
51,1977.0,1978.0,1526.214599609375,145.0391082763672,660.2215576171875,53.76238809898496,-6.24700678512454,40.0,0.0,1.0,1025.4412841796875,17,chip,
52,1986.0,1986.0,1835.86328125,221.0272674560547,884.330810546875,53.76233663409948,-6.246907543390989,40.0,1.7035166025161743,2.0,1034.5430908203125,17,putt,
53,2035.0,2031.0,9384.2431640625,2034.4659423828125,4000.68798828125,53.7622735183686,-6.247123377397656,40.0,74.54077911376953,1.0,1011.589599609375,18,pitch,
54,2090.0,2091.0,1776.9639892578125,294.65643310546875,1098.7825927734375,53.76264005899429,-6.247867606580257,40.0,0.0,3.0,1021.8781127929688,18,chip,
55,2097.0,2091.0,1776.9639892578125,294.65643310546875,1098.7825927734375,53.762648021802306,-6.247829217463732,40.0,0.0,3.0,1021.8781127929688,18,putt,
10001,2127.0,2127.0,0.0,0.0,0.0,53.76252053305507,-6.247606733813882,,,,,18,putt,True
