marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class
31,1160.0,1155.0,1856.1685791015625,371.40185546875,501.7783203125,53.76362308859825,-6.246310248970985,80.0,7.803347587585449,2.0,1144.7227783203125,11,putt
32,1209.0,1208.0,8342.69140625,1837.2803955078125,2546.07958984375,53.76398761756718,-6.246510073542595,40.0,61.230133056640625,1.0,1013.1279907226562,12,pitch
33,1253.0,1253.0,1727.7418212890625,213.3058624267578,1062.09619140625,53.76353164203465,-6.246531866490841,40.0,3.6269848346710205,1.0,1038.2047119140625,12,putt
34,1259.0,1253.0,1727.7418212890625,213.3058624267578,1062.09619140625,53.76350129954517,-6.246539913117886,40.0,3.6269848346710205,1.0,1038.2047119140625,12,putt
35,1324.0,1322.0,6659.849609375,1759.4105224609375,3214.91357421875,53.7631559651345,-6.2460828479379416,120.0,38.3026008605957,1.0,1057.98046875,13,pitch
36,1368.0,1368.0,1715.8233642578125,228.0877227783203,675.567626953125,53.7633219268173,-6.246826741844416,80.0,0.0,2.0,1022.88330078125,13,putt
37,1412.0,1410.0,6676.3251953125,1581.0360107421875,3342.95361328125,53.76305898651481,-6.246614176779985,40.0,37.99113082885742,1.0,1030.6429443359375,14,pitch
38,1449.0,1447.0,1503.8038330078125,212.07513427734375,376.1016845703125,53.76289646141231,-6.247248435392976,200.0,0.0,1.0,1015.9027709960938,14,chip
39,1462.0,1456.0,1323.054443359375,168.6136474609375,224.21783447265625,53.76286695711315,-6.247389921918511,200.0,0.0,2.0,1046.875,14,putt
40,1513.0,1511.0,5787.3564453125,1381.2034912109375,2691.361083984375,53.762849774211645,-6.247832151129842,80.0,29.85116195678711,1.0,1017.0914916992188,15,pitch
41,1564.0,1564.0,1321.2996826171875,113.79459381103516,201.135009765625,53.76254710368812,-6.247293027117848,200.0,0.0,1.0,1019.6392211914062,15,putt
42,1570.0,1567.0,1397.31494140625,113.14910888671875,357.548095703125,53.76256621442735,-6.247287578880787,40.0,0.0,2.0,1024.2205810546875,15,putt
