marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class
1,32.0,28.0,6450.583984375,1634.0003662109375,3513.976806640625,53.76283342950046,-6.247950419783592,,,,,1,pitch
2,68.0,67.0,2426.30126953125,445.32025146484375,1144.3446044921875,53.762974916025996,-6.247363351285458,,,,,1,chip
3,94.0,95.0,1646.9334716796875,262.1598205566406,1137.8109130859375,53.763157138600945,-6.247342815622687,,,,,1,putt
4,147.0,145.0,7143.501953125,1816.287109375,5962.8876953125,53.7630127184093,-6.247787894681096,,,,,2,pitch
5,193.0,194.0,1522.263427734375,228.5200653076172,545.1712646484375,53.76338663510978,-6.247254889458418,,,,,2,putt
6,235.0,234.0,6564.849609375,1618.4140625,4733.7216796875,53.76325252465904,-6.247114324942231,,,,,3,pitch
7,281.0,281.0,1374.9268798828125,258.638427734375,547.9464721679688,53.76371964812279,-6.246958505362272,,,,,3,putt
8,322.0,320.0,6430.96923828125,1516.239990234375,2433.24267578125,53.763637505471706,-6.247282298281789,,,,,4,pitch
9,369.0,370.0,1360.04931640625,188.8873748779297,418.70465087890625,53.76405199058354,-6.246760860085487,,,,,4,putt
10,380.0,381.0,1534.029296875,161.87335205078125,427.6383056640625,53.763996083289385,-6.246758932247758,,,,,4,putt
11,417.0,415.0,7516.5400390625,1898.2269287109375,5449.3701171875,53.764141257852316,-6.246646363288164,,,,,5,pitch
12,466.0,467.0,1391.0560302734375,229.68536376953125,559.6202392578125,53.76443085260689,-6.245977403596044,,,,,5,putt
13,474.0,468.0,1462.2957763671875,257.1219177246094,380.73760986328125,53.76444627530873,-6.245992993935943,,,,,5,putt
14,543.0,542.0,7306.5107421875,1771.6649169921875,4153.798828125,53.764206720516086,-6.246659690514207,,,,,6,pitch
15,592.0,592.0,1906.1348876953125,374.93121337890625,1438.9647216796875,53.764623971655965,-6.246159709990025,,,,,6,chip
16,599.0,600.0,1881.638671875,341.3642883300781,326.8468017578125,53.764617601409554,-6.246160548180342,,,,,6,chip
17,622.0,621.0,1415.8834228515625,107.48091125488281,201.62689208984375,53.76454459503293,-6.246479395776987,,,,,6,chip
18,654.0,652.0,4253.099609375,1043.713623046875,2346.224853515625,53.76450947485864,-6.246474450454116,,,,,7,pitch
19,684.0,685.0,1660.7305908203125,344.816650390625,778.402099609375,53.764768559485674,-6.246222825720906,,,,,7,putt
20,692.0,693.0,1776.1702880859375,260.21466064453125,806.6956787109375,53.764751544222236,-6.246266579255462,,,,,7,putt
21,746.0,745.0,6116.53076171875,1585.975341796875,3696.314453125,53.7649414781481,-6.246214024722576,,,,,8,pitch
22,782.0,781.0,1958.3192138671875,523.0162353515625,437.5726318359375,53.76465389505029,-6.24577053822577,,,,,8,putt
23,794.0,788.0,1640.5758056640625,235.2815704345703,457.3466796875,53.76462455838919,-6.245690993964672,,,,,8,putt
24,847.0,846.0,6869.37109375,1856.505126953125,3936.252685546875,53.76448650844395,-6.245604241266847,,,,,9,pitch
25,887.0,888.0,2356.20703125,673.0184936523438,690.7698974609375,53.76418551430106,-6.246234392747283,,,,,9,putt
26,904.0,905.0,1489.8701171875,252.40492248535156,1139.0810546875,53.76413078047335,-6.246266243979335,,,,,9,putt
27,973.0,972.0,7486.43017578125,1916.1026611328125,4472.52734375,53.764312248677015,-6.245688060298562,,,,,10,pitch
28,1021.0,1022.0,1908.8043212890625,468.9542541503906,949.428466796875,53.76388410106301,-6.24623472802341,,,,,10,putt
29,1076.0,1074.0,7855.1923828125,1808.6007080078125,4405.8125,53.76400966197252,-6.2457479909062386,,,,,11,pitch
30,1124.0,1125.0,1684.130615234375,269.66339111328125,706.0406494140625,53.76366692595184,-6.246313685551286,,,,,11,putt
31,1171.0,1169.0,8177.82763671875,2100.3173828125,3523.716796875,53.76401536166668,-6.246548462659121,,,,,12,pitch
32,1213.0,1214.0,1960.2535400390625,359.0653991699219,788.7881469726562,53.76350121572614,-6.246580481529236,,,,,12,putt
33,1277.0,1276.0,5961.490234375,1564.78369140625,2256.781005859375,53.763125874102116,-6.246173791587353,,,,,13,pitch
34,1316.0,1317.0,1556.546875,233.4533233642578,868.5751953125,53.7633340805769,-6.246873429045081,,,,,13,putt
35,1322.0,1323.0,1658.3817138671875,300.3457946777344,379.37744140625,53.76330558210611,-6.24683671630919,,,,,13,putt
36,1374.0,1371.0,7308.93212890625,1632.09716796875,3442.9404296875,53.76307658851147,-6.246606046333909,,,,,14,pitch
37,1414.0,1415.0,1697.1673583984375,239.33203125,435.2979736328125,53.762899059802294,-6.24725891277194,,,,,14,chip
38,1424.0,1425.0,1812.332763671875,267.897216796875,375.26751708984375,53.762883050367236,-6.247398052364588,,,,,14,putt
39,1486.0,1485.0,6497.88232421875,1718.760498046875,4597.4716796875,53.762850193306804,-6.2478987872600555,,,,,15,pitch
40,1515.0,1509.0,1888.8909912109375,254.67124938964844,987.5137329101562,53.76260778866708,-6.247421186417341,,,,,15,putt
41,1530.0,1531.0,1647.0653076171875,259.1379699707031,454.28515625,53.762564454227686,-6.247279616072774,,,,,15,putt
42,1550.0,1548.0,7800.4150390625,1754.8177490234375,4047.019287109375,53.76266369596124,-6.247175680473447,,,,,16,pitch
43,1586.0,1585.0,3842.155029296875,757.0228881835938,1902.7764892578125,53.76270929351449,-6.246534967795014,,,,,16,chip
44,1605.0,1604.0,2109.011474609375,325.5238342285156,913.07080078125,53.76287533901632,-6.246425751596689,,,,,16,chip
45,1622.0,1623.0,1786.246337890625,308.2117614746094,1256.4378662109375,53.7630177475512,-6.246333383023739,,,,,16,putt
46,1678.0,1677.0,7330.66650390625,1748.501708984375,4873.01806640625,53.76280962489545,-6.246356433257461,,,,,17,pitch
47,1715.0,1713.0,1922.7784423828125,332.7221374511719,765.89599609375,53.76243319362402,-6.246851636096835,,,,,17,chip
48,1728.0,1729.0,1785.1260986328125,378.7650451660156,963.5751342773438,53.76233194023371,-6.246932856738567,,,,,17,putt
49,1775.0,1773.0,8077.07470703125,2032.8311767578125,4449.279296875,53.76226991415024,-6.247102590277791,,,,,18,pitch
50,1817.0,1818.0,1802.4100341796875,309.4067687988281,847.0540771484375,53.76269806176424,-6.247715810313821,,,,,18,chip
51,1827.0,1821.0,1992.447998046875,281.13275146484375,1108.29248046875,53.76270979642868,-6.247832989320159,,,,,18,putt
