peak_mag,min_mag,mean_mag,std_mag,max_jerk,peak_x,peak_y,peak_z,t,marker_t,offset,label,hole
1354.563720703125,413.6979675292969,992.6080932617188,191.84515380859375,697.31689453125,758.0,1226.0,993.0,574.0,573.0,-1.0,putt,5
5899.30029296875,264.83203125,1972.744873046875,1469.76611328125,4313.63671875,4036.0,1787.0,5638.0,616.0,618.0,2.0,pitch,6
2067.8310546875,331.4045715332031,1096.4637451171875,527.146484375,504.9990234375,1956.0,793.0,1032.0,650.0,649.0,-1.0,chip,6
1389.2109375,610.40478515625,983.7127685546875,237.05186462402344,420.36676025390625,1371.0,1185.0,698.0,662.0,661.0,-1.0,putt,6
8450.208984375,476.0987243652344,2454.814697265625,1953.5726318359375,4535.9638671875,5533.0,2922.0,7551.0,703.0,705.0,2.0,pitch,7
1936.02197265625,790.2847290039062,1156.6058349609375,277.7969970703125,435.277587890625,881.0,1368.0,1926.0,757.0,756.0,-1.0,putt,7
1936.02197265625,790.2847290039062,1156.6058349609375,277.7969970703125,435.277587890625,881.0,1368.0,1926.0,757.0,761.0,4.0,putt,7
5485.41455078125,240.8983154296875,1943.187744140625,1392.074462890625,3062.49267578125,3861.0,1726.0,4564.0,799.0,801.0,2.0,pitch,8
1769.712646484375,548.1185913085938,1003.7093505859375,223.76539611816406,1221.593994140625,630.0,467.0,1753.0,838.0,838.0,0.0,putt,8
1591.3321533203125,291.91436767578125,1020.7388305664062,402.42120361328125,436.659912109375,1540.0,722.0,301.0,846.0,845.0,-1.0,putt,8
7069.24560546875,347.6923828125,1774.257080078125,1695.6102294921875,4038.05908203125,4724.0,1989.0,5747.0,925.0,926.0,1.0,pitch,9
1354.056884765625,330.1847839355469,985.4920654296875,216.16282653808594,817.6849365234375,894.0,985.0,1046.0,978.0,978.0,0.0,putt,9
1490.3895263671875,534.6671752929688,915.4761962890625,233.81678771972656,590.215087890625,729.0,843.0,1283.0,988.0,987.0,-1.0,putt,9
7375.45458984375,236.36624145507812,1904.510009765625,1806.7440185546875,5188.15576171875,4850.0,2030.0,6752.0,1101.0,1102.0,1.0,pitch,10
1975.562255859375,676.74365234375,1012.0084838867188,269.7008361816406,1233.1297607421875,925.0,807.0,1827.0,1149.0,1149.0,0.0,putt,10
2276.583740234375,602.8648071289062,1178.333251953125,509.32745361328125,879.5426025390625,2051.0,974.0,673.0,1155.0,1155.0,0.0,putt,10
5538.05419921875,401.9166564941406,1551.125732421875,1451.4647216796875,4164.26025390625,4329.0,1769.0,5202.0,1206.0,1207.0,1.0,pitch,11
1927.76611328125,306.1666259765625,1084.312744140625,519.1888427734375,430.0233154296875,1915.0,528.0,324.0,1238.0,1243.0,5.0,putt,11
6675.5439453125,547.6714477539062,2102.039794921875,1574.7821044921875,4992.123046875,4657.0,1809.0,6262.0,1274.0,1276.0,2.0,pitch,12
1636.9739990234375,689.2162475585938,974.2025756835938,198.05589294433594,716.3448486328125,716.0,1134.0,1514.0,1321.0,1320.0,-1.0,putt,12
8456.0927734375,564.9796752929688,2308.30419921875,1894.8486328125,5559.34326171875,5320.0,2548.0,7151.0,1367.0,1369.0,2.0,pitch,13
2343.166748046875,438.0091247558594,1233.4312744140625,531.3341674804688,1420.555908203125,984.0,1797.0,1489.0,1426.0,1427.0,1.0,putt,13
