marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class,dist_to_green,on_green_strict,on_green_buffer
18,834.0,833.0,7207.63525390625,1669.7042236328125,2397.509033203125,53.7214280012995,-6.37043391354382,80.0,44.81611251831055,1.0,1015.9767456054688,10,pitch,36.51819411104186,0.0,0.0
19,870.0,870.0,1643.2203369140625,160.9368438720703,465.44696044921875,53.72177098877728,-6.370018254965544,40.0,0.0,2.0,1031.2681884765625,10,putt,3.9491241444415137,0.0,1.0
20,918.0,916.0,6592.82177734375,1863.5797119140625,4517.76220703125,53.72198305092752,-6.369486590847373,80.0,41.56182861328125,1.0,1104.431640625,12,pitch,12.817569329117298,0.0,0.0
21,960.0,961.0,1840.7789306640625,331.31390380859375,768.2347412109375,53.72242586687207,-6.369794961065054,80.0,6.365912437438965,2.0,1023.6721801757812,12,putt,2.4104681093745866,1.0,1.0
22,1011.0,1006.0,8802.0478515625,2197.713134765625,2930.84228515625,53.72231774032116,-6.37006938457489,40.0,63.06561279296875,1.0,1113.193115234375,13,pitch,19.438218307763282,0.0,0.0
23,1049.0,1050.0,1797.9068603515625,475.5793762207031,339.78515625,53.72280531562865,-6.369612067937851,400.0,2.5183229446411133,2.0,1061.7392578125,13,putt,7.81678421712792,0.0,1.0
24,1079.0,1077.0,5556.0263671875,1259.302978515625,2752.090576171875,53.7228197325021,-6.3695023488253355,80.0,29.340755462646484,1.0,1015.6560668945312,14,pitch,14.08673299361697,0.0,0.0
25,1111.0,1110.0,1549.9703369140625,220.89854431152344,726.6927490234375,53.72248244471848,-6.369359940290451,280.0,0.0,1.0,1009.49853515625,14,chip,6.473203878054416,0.0,1.0
26,1123.0,1124.0,1849.540771484375,346.5419616699219,628.185302734375,53.72238907031715,-6.369320880621672,80.0,3.49735426902771,1.0,1022.5662231445312,14,putt,4.231981821930316,0.0,1.0
27,1174.0,1172.0,8810.2451171875,1976.6658935546875,5352.08203125,53.72242863290012,-6.3691601157188416,40.0,59.156532287597656,1.0,1019.3683471679688,15,pitch,11.807509866313914,0.0,0.0
28,1220.0,1214.0,1493.7857666015625,129.47198486328125,507.018798828125,53.721854807808995,-6.368893152102828,40.0,0.0,2.0,1096.37890625,15,chip,4.328341867727637,0.0,1.0
29,1226.0,1222.0,1376.003662109375,199.60374450683594,316.33935546875,53.721838966012,-6.368856355547905,120.0,0.0,1.0,1047.0277099609375,15,putt,7.128515467450238,0.0,1.0
30,1253.0,1251.0,4193.71484375,1107.447998046875,2248.33984375,53.721727738156915,-6.368762142956257,120.0,19.151338577270508,1.0,1075.9586181640625,16,pitch,19.64185466797037,0.0,0.0
31,1279.0,1273.0,1657.0338134765625,164.71363830566406,457.37841796875,53.72196050360799,-6.368585368618369,40.0,0.0,1.0,1021.7239379882812,16,putt,2.218554633328647,1.0,1.0
32,1309.0,1308.0,5670.04931640625,1513.9466552734375,3118.6171875,53.72199470177293,-6.36838068254292,120.0,29.687644958496094,1.0,1098.476806640625,17,pitch,15.866755574688655,0.0,0.0
33,1342.0,1337.0,1483.3331298828125,178.173095703125,495.49359130859375,53.72224406339228,-6.368842860683799,80.0,0.0,2.0,1097.9248046875,17,chip,7.315829676515175,0.0,0.0
34,1351.0,1352.0,2052.252685546875,379.1730041503906,802.8836669921875,53.722249595448375,-6.368902791291475,40.0,7.618435859680176,2.0,1024.0111083984375,17,putt,5.195868021223626,0.0,1.0
35,1392.0,1390.0,8350.20703125,2128.469970703125,4370.4189453125,53.72218740172684,-6.368523426353931,80.0,46.52908706665039,1.0,1014.3648071289062,18,pitch,27.132112325550025,0.0,0.0
36,1439.0,1437.0,2350.02685546875,340.2822265625,786.344970703125,53.72261672280729,-6.368917375802994,40.0,3.3741631507873535,1.0,1018.1139526367188,18,chip,12.060155062525947,0.0,0.0
37,1460.0,1461.0,1541.172607421875,158.87997436523438,433.8946533203125,53.72263742610812,-6.369013600051403,80.0,0.0,1.0,1031.2593994140625,18,putt,6.1010921963033535,0.0,1.0
38,1466.0,1462.0,1713.2396240234375,233.46514892578125,305.71923828125,53.722627284005284,-6.3689978420734406,80.0,1.205079197883606,2.0,1047.2935791015625,18,putt,7.60292289424171,0.0,1.0
