marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class
31,1294.0,1292.0,7980.05810546875,1874.8267822265625,5831.4453125,53.76397345215082,-6.2465340457856655,80.0,47.33924865722656,1.0,1044.6224365234375,12,pitch
32,1340.0,1340.0,1707.576904296875,289.24615478515625,582.0462646484375,53.76346425153315,-6.246575955301523,80.0,4.34271764755249,3.0,1033.0777587890625,12,putt
33,1346.0,1340.0,1707.576904296875,289.24615478515625,582.0462646484375,53.763448325917125,-6.246577799320221,80.0,4.34271764755249,3.0,1033.0777587890625,12,putt
34,1410.0,1408.0,6796.869140625,1797.3963623046875,4344.98095703125,53.76309586688876,-6.246141437441111,80.0,45.53512191772461,1.0,1037.8182373046875,13,pitch
35,1463.0,1464.0,1793.2677001953125,287.2817687988281,889.925048828125,53.76335704699159,-6.246858760714531,80.0,5.725618362426758,2.0,1029.869140625,13,putt
36,1468.0,1464.0,1793.2677001953125,287.2817687988281,889.925048828125,53.76335193403065,-6.24682892113924,80.0,5.725618362426758,2.0,1029.869140625,13,putt
37,1519.0,1516.0,7477.72265625,1875.7823486328125,2266.234130859375,53.763071643188596,-6.246576709672809,80.0,51.75578689575195,1.0,1016.23388671875,14,pitch
38,1567.0,1561.0,1647.426513671875,159.73934936523438,616.002685546875,53.762851199135184,-6.247376007959247,40.0,0.0,1.0,1047.3489990234375,14,putt
39,1618.0,1617.0,7362.12353515625,1918.045166015625,3682.987060546875,53.76281482167542,-6.247837683185935,80.0,0.0,1.0,1132.0745849609375,15,pitch
40,1657.0,1656.0,1234.3941650390625,81.53453826904297,314.75347900390625,53.76251173205674,-6.247274586930871,160.0,0.0,2.0,1024.37548828125,15,chip
41,1666.0,1660.0,1842.69580078125,305.1322326660156,289.8074951171875,53.762533692643046,-6.247270395979285,80.0,0.0,1.0,1057.7353515625,15,putt
42,1700.0,1699.0,8811.1865234375,2106.361083984375,3058.92724609375,53.762626899406314,-6.247199987992644,40.0,67.44842529296875,1.0,1082.2587890625,16,pitch
43,1760.0,1759.0,2005.7186279296875,350.8539733886719,746.559326171875,53.76296536065638,-6.246317960321903,80.0,8.635354042053223,1.0,1036.80419921875,16,chip
44,1770.0,1771.0,1878.4384765625,389.3735046386719,367.4005126953125,53.76301875337958,-6.246257945895195,80.0,7.011525630950928,1.0,1034.314697265625,16,chip
45,1816.0,1813.0,8049.75439453125,2048.4912109375,5710.0224609375,53.76277861185372,-6.246379651129246,80.0,62.8636589050293,1.0,1017.95556640625,17,pitch
46,1865.0,1866.0,1381.5606689453125,207.91757202148438,281.1727294921875,53.76233596354723,-6.247013993561268,200.0,0.0,2.0,1037.2061767578125,17,putt
47,1874.0,1869.0,1839.337158203125,313.40704345703125,622.2401733398438,53.762279972434044,-6.246915003284812,120.0,9.89629077911377,1.0,1059.4407958984375,17,putt
48,1933.0,1930.0,8424.537109375,2133.613525390625,6581.70654296875,53.76225926913321,-6.247073169797659,80.0,49.93889617919922,1.0,1097.7779541015625,18,pitch
49,1989.0,1990.0,1369.5787353515625,102.03897094726562,235.795166015625,53.76270434819162,-6.247859559953213,80.0,0.0,1.0,1027.3427734375,18,chip
50,1997.0,1998.0,1590.0015869140625,424.72442626953125,361.4635925292969,53.76262564212084,-6.247801641002297,280.0,6.214203834533691,2.0,1034.1051025390625,18,chip
