idx,t,peak_mag,std_mag,max_jerk,peak_x,peak_y,peak_z,mean_mag,min_mag,label,hole,confidence
524.0,525.0,8332.599609375,1880.161865234375,4908.31640625,5620.0,2632.0,7052.0,2380.6767578125,483.0631408691406,pitch,7,medium
562.0,563.0,1978.00634765625,503.1902770996094,468.32122802734375,1954.0,1022.0,409.0,1147.1502685546875,390.23455810546875,putt,7,medium
588.0,589.0,2473.818603515625,675.35595703125,825.2786865234375,2193.0,1127.0,442.0,1096.3248291015625,365.0766906738281,false_positive,7,medium
591.0,592.0,2009.4976806640625,555.497802734375,462.7470703125,2006.0,749.0,429.0,1232.813720703125,414.24871826171875,false_positive,7,medium
616.0,617.0,4638.90869140625,1092.9356689453125,1079.013671875,3364.0,1393.0,4062.0,1813.353759765625,723.0068969726562,pitch,8,medium
622.0,623.0,2009.2015380859375,610.0777587890625,420.599609375,1971.0,547.0,420.0,1192.121337890625,363.498291015625,false_positive,8,medium
707.0,709.0,6801.529296875,1775.1724853515625,3747.750732421875,4468.0,2244.0,6770.0,2280.224609375,707.0770874023438,pitch,9,high
714.0,716.0,2069.675048828125,519.2621459960938,411.681640625,2041.0,781.0,429.0,1126.8690185546875,436.94622802734375,putt,9,high
720.0,722.0,2129.7353515625,513.4905395507812,606.6978149414062,1836.0,1001.0,825.0,1161.33203125,360.7284240722656,putt,9,high
786.0,788.0,8554.5966796875,2215.23095703125,5813.576171875,6487.0,2008.0,8021.0,2304.372314453125,636.2373657226562,pitch,10,medium
895.0,898.0,8365.4228515625,2065.0693359375,5455.23291015625,5698.0,2329.0,7348.0,2029.558837890625,442.252197265625,pitch,11,medium
902.0,905.0,3623.69677734375,672.6450805664062,2008.7943115234375,2537.0,2183.0,1389.0,1142.968994140625,405.68585205078125,chip,11,low
960.0,963.0,2097.118408203125,526.4703979492188,353.422119140625,2028.0,679.0,551.0,1317.731689453125,570.4331665039062,putt,11,low
996.0,999.0,8738.43359375,2192.62109375,5688.9208984375,6812.0,2267.0,7518.0,2413.35595703125,400.75677490234375,pitch,12,high
1003.0,1006.0,2101.64453125,602.9618530273438,552.9928588867188,2075.0,695.0,442.0,1133.3492431640625,298.5933837890625,putt,12,high
1009.0,1012.0,1860.3365478515625,513.8649291992188,880.6015014648438,1700.0,1441.0,819.0,1059.3572998046875,353.8587341308594,putt,12,high
1142.0,1145.0,8524.58203125,1922.3372802734375,4520.412109375,5497.0,2377.0,6891.0,2262.557373046875,957.8841552734375,pitch,13,high
1164.0,1167.0,1888.99072265625,526.5709228515625,812.670166015625,886.0,1833.0,1130.0,1074.5623779296875,135.46217346191406,chip,13,high
1179.0,1182.0,1958.8673095703125,514.4112548828125,653.63818359375,1902.0,666.0,434.0,1140.10546875,411.3526611328125,putt,13,high
1260.0,1263.0,6481.38232421875,1563.0001220703125,3339.926513671875,4704.0,1988.0,5268.0,1928.5142822265625,391.4102783203125,pitch,14,medium
1314.0,1317.0,2453.68310546875,505.5440979003906,587.9500732421875,2172.0,889.0,716.0,1351.818115234375,593.4180908203125,chip,14,low
1343.0,1347.0,7549.6435546875,1892.8646240234375,2316.1357421875,5473.0,2251.0,6699.0,2265.735107421875,950.5045776367188,pitch,15,medium
1358.0,1362.0,2336.70263671875,521.2109985351562,714.5029296875,1777.0,1515.0,579.0,1115.127685546875,353.673583984375,putt,15,medium
1362.0,1366.0,2039.764892578125,525.5748901367188,837.100830078125,1896.0,907.0,416.0,1085.667724609375,335.32818603515625,putt,15,medium
1451.0,1455.0,3968.10107421875,702.39794921875,1628.410400390625,3588.0,1639.0,1722.0,1475.418212890625,837.322509765625,false_positive,15,medium
1539.0,1543.0,4766.5107421875,1181.09375,3232.92041015625,3526.0,1602.0,4532.0,1877.626953125,834.1834106445312,pitch,16,medium
1559.0,1564.0,2045.339599609375,512.1083984375,889.6649169921875,1946.0,852.0,678.0,1034.5535888671875,302.96533203125,chip,16,medium
1601.0,1606.0,2468.79150390625,503.6542053222656,1139.7410888671875,2443.0,1051.0,845.0,1194.248046875,605.9612426757812,false_positive,16,medium
1625.0,1630.0,6271.13330078125,1433.480224609375,3810.784912109375,4756.0,1800.0,5567.0,2055.056396484375,858.7717895507812,pitch,17,medium
1631.0,1636.0,2324.52685546875,649.53564453125,580.7823486328125,2192.0,675.0,939.0,1259.6534423828125,196.65452575683594,putt,17,medium
1635.0,1640.0,1917.4300537109375,508.58843994140625,812.8006591796875,1852.0,956.0,519.0,1159.399169921875,332.8498229980469,putt,17,medium
1644.0,1649.0,2104.586181640625,542.569580078125,1036.854248046875,705.0,1691.0,1191.0,1007.0830078125,81.95730590820312,false_positive,17,medium
1711.0,1717.0,8981.9443359375,2078.023193359375,2973.94189453125,6057.0,2865.0,6543.0,2488.404052734375,568.2490844726562,pitch,18,medium
1717.0,1723.0,2241.3095703125,596.8621826171875,455.923583984375,2163.0,668.0,609.0,1327.0743408203125,292.8070983886719,chip,18,low
